"","","Rank","Rank","University Name","Entry Standards 
                             
                             
                                Entry Standards 
                                The average UCAS tariff score of new students entering the University. These tables use the old UCAS tariff. 
                                Read more","Student Satisfaction 
                             
                             
                                Student Satisfaction 
                                A guide to how satisfied students are with the quality of teaching they receive. 
                                    Maximum score: 5.00 
                                Read more","Research Quality 
                             
                             
                                Research Quality 
                                A measure of the quality of the research undertaken in the University. 
                                    Maximum score: 4.00 
                                Read more","Research Intensity 
                             
                             
                                Research Intensity 
                                A measure of the proportion of staff involved in high-quality research in the University. 
                                    Maximum score: 1.00 
                                Read more","Graduate Prospects 
                             
                             
                                Graduate Prospects 
                                A guide to the employability of graduates on completion of their courses at the University. 
                                    Maximum score: 100.0 
                                Read more","Student-Staff Ratio 
                             
                             
                                Student-Staff Ratio 
                                The average staffing levels at the University. 
                                Read more","Academic Services Spend 
                             
                             
                                Academic Services Spend 
                                A guide to how much the University spends on supporting services such as libraries and IT. 
                                Read more","Facilities Spend 
                             
                             
                                Facilities Spend 
                                A guide to how much the University spends on supporting facilities such as the careers service, health and counselling services and sport facilities. 
                                Read more","Good Honours 
                             
                             
                                Good Honours 
                                The percentage of graduates achieving a first or upper second class honours degree – the class of degree achieved can impact a graduate’s employment prospects. 
                                    Maximum score: 100.0 
                                Read more","Degree Completion 
                             
                             
                                Degree Completion 
                                The proportion of students expected to successfully complete their studies and gain a degree from the University. 
                                    Maximum score: 100.0 
                                Read more","Overall Score 
                             
                             
                                Overall Score 
                                The total score calculated by our independent and trusted methodology, comprising entry standards, student satisfaction, research assessment (quality and intensity), graduate prospects, student–staff ratio, academic services spend, facilities spend, good honours, and degree completion. 
                                    Maximum score: 1000 
                                Read more","Next Steps"
"45","","21st","4","Nottingham","424","4.06","3.09","0.79","81.2","13.2","1,594","610","80.5","93.7","799","Profile
                                    Courses"
"46","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"47","","23rd","1","Kent","358","4.12","2.95","0.85","76.6","12.7","1,060","543","80.1","91.6","796","Profile
                                    Courses"
"48","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"49","","24th","9","Bristol","476","3.96","3.18","0.91","79.5","13.8","1,453","462","87.9","95.1","791","Profile
                                    Courses"
"50","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"51","","25th","3","Manchester","433","4.05","3.16","0.78","78.4","13.4","1,513","591","76.2","93.0","773","Profile
                                    Courses"
"52","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"53","","25th","1","Newcastle","430","4.14","3.09","0.80","79.3","15.5","1,352","459","81.3","94.9","773","Profile
                                    Courses"
"54","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
"55","","27th","2","Reading","371","4.09","3.03","0.83","70.2","14.7","1,493","466","80.6","92.2","764","Profile
                                    Courses"
"56","","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International","League Table Rankings
                                        

    

                                    
                                

                                        Find Out More
                                        
                                                                                            Undergraduate
                                                                                            Postgraduate
                                                                                            International"
